run_id,request_id,seq,warmup,path,model,prompt_id,loss_pct,delay_ms,condition,wall_start,wall_end,ttft_ms,total_ms,connect_ms,headers_ms,tokens,eval_count,tokens_per_s,ok,failure,detail,loadavg_1m
m5-gate,aac47ce777e6,29,0,ran,qwen2.5:0.5b,short,0,0,before,1789617409.814537,1789617409.971082,63.656,156.398,35.014,63.625,24,25,248.001,1,,,4.31
m5-gate,8fc20dc44f13,30,0,ran,qwen2.5:0.5b,short,0,0,before,1789617410.471287,1789617410.61894,63.157,147.557,35.573,63.127,24,25,272.511,1,,,4.31
m5-gate,3f6e83e8ad63,31,0,ran,qwen2.5:0.5b,short,0,0,before,1789617411.119102,1789617411.264148,52.353,144.91,23.45,52.321,24,25,248.494,1,,,4.31
m5-gate,6045011d7d37,32,0,ran,qwen2.5:0.5b,short,0,0,before,1789617411.764348,1789617411.92008,59.661,155.621,31.91,59.615,24,25,239.684,1,,,4.12
m5-gate,7f58e436bc8a,0,1,ran,qwen2.5:0.5b,short,0,100,during,1789617414.680639,1789617415.378541,473.274,697.81,231.239,473.21,24,25,102.434,1,,,4.12
m5-gate,b0a85b835141,1,1,ran,qwen2.5:0.5b,short,0,100,during,1789617415.87874,1789617416.595181,480.919,716.314,238.483,480.857,24,25,97.708,1,,,4.12
m5-gate,c93246cbf9d4,2,1,ran,qwen2.5:0.5b,short,0,100,during,1789617417.095327,1789617417.798637,472.895,703.208,231.66,472.847,24,25,99.864,1,,,3.95
m5-gate,d85cba7fa0ba,3,0,ran,qwen2.5:0.5b,short,0,100,during,1789617418.298822,1789617418.991251,464.054,692.31,222.536,464.009,24,25,100.764,1,,,3.95
m5-gate,2139f0dc1cef,4,0,ran,qwen2.5:0.5b,short,0,100,during,1789617419.491429,1789617420.187062,463.278,695.521,221.316,463.229,24,25,99.034,1,,,3.95
m5-gate,1f93f7ad6daa,5,0,ran,qwen2.5:0.5b,short,0,100,during,1789617420.687282,1789617421.374156,462.305,686.766,220.171,462.263,24,25,102.468,1,,,3.95
m5-gate,8d290fe5a339,6,0,ran,qwen2.5:0.5b,short,0,100,during,1789617421.874348,1789617422.562863,462.42,688.397,220.917,462.389,24,25,101.781,1,,,3.87
m5-gate,fc72581a952e,7,0,ran,qwen2.5:0.5b,short,0,100,during,1789617423.063064,1789617423.752498,463.998,689.329,220.698,463.948,24,25,102.072,1,,,3.87
m5-gate,0bf757bcf912,8,0,ran,qwen2.5:0.5b,short,0,100,during,1789617424.252687,1789617424.960916,480.823,708.087,240.437,480.772,24,25,101.204,1,,,3.87
m5-gate,c02b10ad248e,9,0,ran,qwen2.5:0.5b,short,0,100,during,1789617425.461107,1789617426.146153,461.185,684.887,219.725,461.134,24,25,102.815,1,,,3.87
m5-gate,d582c2cb15b0,10,0,ran,qwen2.5:0.5b,short,0,100,during,1789617426.646375,1789617427.357102,461.497,710.618,219.173,461.451,24,25,92.325,1,,,3.72
m5-gate,6033f77486b2,11,0,ran,qwen2.5:0.5b,short,0,100,during,1789617427.857302,1789617428.553275,469.158,695.857,226.832,469.109,24,25,101.456,1,,,3.72
m5-gate,bb848a52f942,12,0,ran,qwen2.5:0.5b,short,0,100,during,1789617429.053458,1789617429.740976,460.972,687.396,219.782,460.94,24,25,101.579,1,,,3.72
m5-gate,6eb58f1debac,13,0,ran,qwen2.5:0.5b,short,0,100,during,1789617430.241138,1789617430.934988,460.78,693.712,220.367,460.733,24,25,98.741,1,,,3.72
m5-gate,072fa9e218bc,14,0,ran,qwen2.5:0.5b,short,0,100,during,1789617431.435218,1789617432.125473,459.995,690.136,221.749,459.949,24,25,99.939,1,,,3.59
m5-gate,17adcd608e55,15,0,ran,qwen2.5:0.5b,short,0,100,during,1789617432.62571,1789617433.33373,480.064,707.919,238.755,480.031,24,25,100.942,1,,,3.59
m5-gate,baea5c578db8,16,0,ran,qwen2.5:0.5b,short,0,100,during,1789617433.833903,1789617434.527577,460.886,693.543,219.633,460.819,24,25,98.858,1,,,3.59
m5-gate,daf1095efca5,17,0,ran,qwen2.5:0.5b,short,0,100,during,1789617435.027832,1789617435.725123,465.341,697.178,223.594,465.294,24,25,99.208,1,,,3.59
m5-gate,149ec666dfb2,18,0,ran,qwen2.5:0.5b,short,0,100,during,1789617436.225328,1789617436.922749,465.533,697.279,223.409,465.5,24,25,99.247,1,,,4.50
m5-gate,c75f9f3fc1c9,19,0,ran,qwen2.5:0.5b,short,0,100,during,1789617437.422947,1789617438.112686,463.523,689.62,222.084,463.483,24,25,101.726,1,,,4.50
m5-gate,1fd445b5e19e,20,0,ran,qwen2.5:0.5b,short,0,100,during,1789617438.61289,1789617439.308695,462.374,695.713,221.014,462.293,24,25,98.569,1,,,4.50
m5-gate,bc8d835afbce,21,0,ran,qwen2.5:0.5b,short,0,100,during,1789617439.808905,1789617440.504133,462.872,695.139,221.029,462.837,24,25,99.024,1,,,4.50
m5-gate,331085b196c8,22,0,ran,qwen2.5:0.5b,short,0,100,during,1789617441.004314,1789617441.693712,461.093,689.286,219.968,461.062,24,25,100.792,1,,,4.50
m5-gate,660b36185443,23,0,ran,qwen2.5:0.5b,short,0,100,during,1789617442.193884,1789617442.880335,460.436,686.364,219.12,460.404,24,25,101.802,1,,,4.46
m5-gate,ffed8e7aabb9,24,0,ran,qwen2.5:0.5b,short,0,100,during,1789617443.380526,1789617444.246754,461.226,866.122,219.392,461.193,24,25,56.805,1,,,4.46
m5-gate,2dfb3527f91a,25,0,ran,qwen2.5:0.5b,short,0,100,during,1789617444.746933,1789617445.436497,462.995,689.408,221.548,462.958,24,25,101.584,1,,,4.46
m5-gate,32dcd5f27b8c,26,0,ran,qwen2.5:0.5b,short,0,100,during,1789617445.936672,1789617446.625866,462.009,689.085,220.437,461.976,24,25,101.288,1,,,4.46
m5-gate,48700eccbbd1,27,0,ran,qwen2.5:0.5b,short,0,100,during,1789617447.126053,1789617447.819301,460.361,693.146,219.235,460.317,24,25,98.804,1,,,4.18
m5-gate,ca6944c23930,28,0,ran,qwen2.5:0.5b,short,0,100,during,1789617448.319474,1789617449.011831,461.116,692.251,219.59,461.069,24,25,99.509,1,,,4.18
m5-gate,d98134ac40b4,29,0,ran,qwen2.5:0.5b,short,0,100,during,1789617449.511992,1789617450.218554,480.033,706.463,238.704,480.0,24,25,101.577,1,,,4.18
m5-gate,1179d973bcc1,30,0,ran,qwen2.5:0.5b,short,0,100,during,1789617450.718745,1789617451.4253,479.946,706.436,239.199,479.896,24,25,101.549,1,,,4.18
m5-gate,6353d54a59be,31,0,ran,qwen2.5:0.5b,short,0,100,during,1789617451.925484,1789617452.614434,462.354,688.822,220.972,462.301,24,25,101.56,1,,,4.09
m5-gate,81a7ddd785c1,32,0,ran,qwen2.5:0.5b,short,0,100,during,1789617453.114629,1789617453.830188,482.704,715.404,238.935,482.665,24,25,98.84,1,,,4.09
m5-gate,3087a6d97317,0,1,ran,qwen2.5:0.5b,short,0,0,after,1789617456.321567,1789617456.482287,67.74,160.585,38.423,67.702,24,25,247.724,1,,,4.09
m5-gate,9a7d11d6e26c,1,1,ran,qwen2.5:0.5b,short,0,0,after,1789617456.982513,1789617457.132395,62.281,149.777,33.538,62.251,24,25,262.868,1,,,4.56
m5-gate,03dacb8733b1,2,1,ran,qwen2.5:0.5b,short,0,0,after,1789617457.632566,1789617457.793371,66.289,160.618,37.532,66.246,24,25,243.827,1,,,4.56
m5-gate,9cd157ab0e26,3,0,ran,qwen2.5:0.5b,short,0,0,after,1789617458.293701,1789617458.449929,63.3,156.043,33.931,63.27,24,25,247.996,1,,,4.56
