wall,loadavg_1m,cpu_busy_pct,rt_ratio_dl,rt_ratio_ul,gpu_temp_c,gpu_util_pct,gpu_mem_mib
1789617390.085,2.13,10.3,0.9405,0.9415,48,0,1195
1789617391.088,2.13,11.2,0.9408,0.9408,48,0,1195
1789617392.089,2.20,36.3,0.9364,0.9354,48,0,1195
1789617393.091,2.20,26.0,0.9349,0.9355,49,3,1195
1789617394.093,2.20,35.5,0.943,0.9424,49,0,1195
1789617395.095,2.20,27.9,0.9395,0.9405,49,0,1195
1789617396.097,2.20,32.8,0.9504,0.9504,49,17,1195
1789617397.1,2.10,29.3,0.9347,0.9347,50,0,1195
1789617398.101,2.10,31.0,0.9495,0.9485,50,28,1195
1789617399.103,2.10,31.7,0.9462,0.9462,50,0,1195
1789617400.105,2.10,28.4,0.9444,0.9444,52,37,1195
1789617401.107,2.10,35.6,0.9475,0.9475,50,0,1195
1789617402.108,3.37,24.0,0.9345,0.9345,51,36,1195
1789617403.11,3.37,36.4,0.9393,0.9393,50,0,1195
1789617404.113,3.37,26.0,0.9387,0.9387,51,12,1195
1789617405.114,3.37,34.2,0.9317,0.9317,51,0,1195
1789617406.118,3.37,29.8,0.9443,0.945,51,0,1195
1789617407.12,4.31,30.7,0.9484,0.9487,51,23,1195
1789617408.123,4.31,30.8,0.9434,0.9424,51,0,1195
1789617409.125,4.31,27.8,0.9411,0.9411,52,36,1195
1789617410.127,4.31,33.7,0.9448,0.9458,51,0,1195
1789617411.129,4.31,26.7,0.9423,0.9413,53,37,1195
1789617412.132,4.12,36.8,0.9482,0.9482,52,0,1195
1789617413.134,4.12,12.6,0.9415,0.9415,52,38,1195
1789617414.135,4.12,10.1,0.9414,0.9414,51,0,1195
1789617415.138,4.12,13.2,0.939,0.94,52,0,1195
1789617416.139,4.12,20.3,0.9474,0.9475,51,0,1195
1789617417.141,3.95,22.8,0.9426,0.9426,52,0,1195
1789617418.142,3.95,23.4,0.9376,0.9376,52,0,1195
1789617419.144,3.95,23.5,0.9405,0.9395,52,0,1195
1789617420.146,3.95,22.3,0.9357,0.936,52,0,1195
1789617421.148,3.95,14.6,0.9418,0.9426,54,37,1195
1789617422.15,3.87,19.9,0.9435,0.9425,52,0,1195
1789617423.151,3.87,23.1,0.9426,0.9426,52,0,1195
1789617424.153,3.87,23.2,0.9444,0.9444,52,0,1195
1789617425.155,3.87,23.2,0.9424,0.9424,52,0,1195
1789617426.157,3.87,23.5,0.9451,0.9458,52,0,1195
1789617427.159,3.72,16.6,0.9388,0.939,53,37,1195
1789617428.161,3.72,17.4,0.9374,0.9364,52,2,1195
1789617429.163,3.72,23.1,0.9418,0.9424,52,0,1195
1789617430.165,3.72,23.1,0.9438,0.9432,52,0,1195
1789617431.166,3.72,22.8,0.9354,0.9364,53,0,1195
1789617432.168,3.59,23.0,0.9444,0.9434,53,0,1195
1789617433.17,3.59,16.8,0.9405,0.9411,53,32,1195
1789617434.172,3.59,16.3,0.9432,0.9436,53,2,1195
1789617435.173,3.59,23.6,0.9344,0.9344,53,0,1195
1789617436.175,3.59,23.4,0.9345,0.9335,53,0,1195
1789617437.177,4.50,22.8,0.9344,0.9354,53,0,1195
1789617438.179,4.50,23.0,0.9435,0.9425,53,0,1195
1789617439.181,4.50,18.6,0.9354,0.9364,53,27,1195
1789617440.183,4.50,16.3,0.9392,0.9392,53,12,1195
1789617441.185,4.50,22.7,0.9384,0.9374,53,0,1195
1789617442.187,4.46,23.0,0.9425,0.9425,53,0,1195
1789617443.189,4.46,23.5,0.9443,0.9443,53,0,1195
1789617444.19,4.46,23.0,0.9335,0.9335,53,0,1195
1789617445.192,4.46,12.6,0.9392,0.9402,54,0,1195
1789617446.194,4.46,20.1,0.9435,0.9435,53,37,1195
1789617447.196,4.18,22.5,0.9435,0.9425,53,0,1195
1789617448.197,4.18,23.5,0.9373,0.9373,53,0,1195
1789617449.2,4.18,23.1,0.941,0.941,54,0,1195
1789617450.201,4.18,23.1,0.9434,0.9434,54,0,1195
1789617451.203,4.18,13.6,0.9442,0.9442,55,0,1195
1789617452.205,4.09,18.9,0.9416,0.9416,54,37,1195
1789617453.207,4.09,23.3,0.9454,0.9454,54,0,1195
1789617454.208,4.09,23.3,0.9326,0.9326,54,0,1195
1789617455.21,4.09,11.0,0.9384,0.9384,54,0,1195
1789617456.212,4.09,11.0,0.9284,0.9294,54,0,1195
1789617457.214,4.56,30.3,0.9453,0.9443,54,0,1195
1789617458.215,4.56,28.6,0.9454,0.9464,54,34,1195
1789617459.218,4.56,31.9,0.9333,0.9323,54,0,1195
1789617460.22,4.56,25.4,0.9323,0.9333,54,38,1195
1789617461.222,4.56,33.7,0.9384,0.9374,54,0,1195
1789617462.224,5.24,21.0,0.9328,0.9338,54,15,1195
1789617463.226,5.24,34.7,0.9355,0.9345,55,0,1195
1789617464.228,5.24,23.3,0.9355,0.9355,56,0,1195
1789617465.23,5.24,33.3,0.9344,0.9344,55,9,1195
1789617466.232,5.24,26.2,0.942,0.942,56,0,1195
1789617467.234,5.06,30.8,0.9423,0.9433,55,23,1195
1789617468.235,5.06,29.1,0.9404,0.9394,55,0,1195
1789617469.237,5.06,28.5,0.9373,0.9383,55,37,1195
1789617470.24,5.06,32.4,0.9376,0.9366,55,0,1195
1789617471.242,5.06,25.4,0.9397,0.9399,55,37,1195
1789617472.244,4.97,35.0,0.9364,0.9372,55,0,1195
1789617473.246,4.97,21.9,0.9426,0.9426,55,13,1195
1789617474.247,4.97,34.4,0.9356,0.9346,55,0,1195
1789617475.249,4.97,25.5,0.9322,0.9332,57,0,1195
1789617476.251,4.97,32.3,0.9432,0.9424,55,7,1195
1789617477.254,5.62,27.0,0.9425,0.9422,57,0,1195
