run_id,request_id,seq,warmup,path,model,prompt_id,loss_pct,delay_ms,condition,wall_start,wall_end,ttft_ms,total_ms,connect_ms,headers_ms,tokens,eval_count,tokens_per_s,ok,failure,detail,loadavg_1m
m4-gate,1c43981bf743,0,1,ran,qwen2.5:0.5b,short,0,0,baseline,1789616851.689365,1789616851.837313,54.028,147.748,22.581,53.987,24,25,245.412,1,,,3.18
m4-gate,eabb2f1c7f74,1,1,ran,qwen2.5:0.5b,short,0,0,baseline,1789616852.337597,1789616852.48694,63.151,149.136,34.006,63.12,24,25,267.486,1,,,3.18
m4-gate,cc5a75f739b7,2,1,ran,qwen2.5:0.5b,short,0,0,baseline,1789616852.987185,1789616853.144274,62.962,156.927,33.783,62.928,24,25,244.771,1,,,3.18
m4-gate,3ffca79ea0f0,3,0,ran,qwen2.5:0.5b,short,0,0,baseline,1789616853.644491,1789616853.78209,53.185,137.468,23.863,53.152,24,25,272.891,1,,,3.18
m4-gate,9d44a071c52b,4,0,ran,qwen2.5:0.5b,short,0,0,baseline,1789616854.28224,1789616854.439051,62.55,156.684,33.464,62.516,24,25,244.333,1,,,3.18
m4-gate,4611e7a44aa8,5,0,ran,qwen2.5:0.5b,short,0,0,baseline,1789616854.939234,1789616855.085638,51.639,146.223,22.604,51.606,24,25,243.171,1,,,3.18
m4-gate,863dbbc749ae,6,0,ran,qwen2.5:0.5b,short,0,0,baseline,1789616855.585939,1789616855.725364,48.058,139.237,19.281,48.014,24,25,252.25,1,,,3.18
m4-gate,54edfde1469e,7,0,ran,qwen2.5:0.5b,short,0,0,baseline,1789616856.225595,1789616856.369107,54.267,143.411,25.27,54.232,24,25,258.009,1,,,3.57
m4-gate,e7e463d67a76,8,0,ran,qwen2.5:0.5b,short,0,0,baseline,1789616856.869254,1789616857.018108,54.186,148.686,24.802,54.152,24,25,243.385,1,,,3.57
m4-gate,b70626467d34,9,0,ran,qwen2.5:0.5b,short,0,0,baseline,1789616857.518329,1789616857.675211,63.281,156.78,34.206,63.249,24,25,245.99,1,,,3.57
m4-gate,045bc52f03b8,10,0,ran,qwen2.5:0.5b,short,0,0,baseline,1789616858.175363,1789616858.314811,55.25,139.291,25.918,55.212,24,25,273.674,1,,,3.57
