"Image Name","PID","Session Name","Session#","Mem Usage"
"msedgewebview2.exe","31752","Console","2","34,252 K"
"msedgewebview2.exe","26284","Console","2","63,732 K"
"msedgewebview2.exe","12964","Console","2","13,044 K"
"msedgewebview2.exe","28416","Console","2","152,216 K"
"MessagingPlugin.exe","30544","Console","2","30,528 K"
"conhost.exe","13992","Console","2","5,036 K"
"NVIDIA Overlay.exe","31596","Console","2","47,892 K"
"ctfmon.exe","29396","Console","2","24,952 K"
"TextInputHost.exe","25120","Console","2","41,500 K"
"SecurityHealthSystray.exe","22396","Console","2","9,724 K"
"RtkAudUService64.exe","31844","Console","2","14,576 K"
"RZTHXHelper.exe","30512","Console","2","10,556 K"
"OneDrive.exe","12212","Console","2","96,364 K"
"WidgetService.exe","6224","Console","2","24,236 K"
"MicrosoftStartFeedProvider.exe","25468","Console","2","36,852 K"
"svchost.exe","35804","Console","2","13,028 K"
"svchost.exe","20452","Services","0","8,240 K"
"ShellExperienceHost.exe","17716","Console","2","42,284 K"
"RuntimeBroker.exe","25824","Console","2","10,836 K"
"Nahimic3.exe","25124","Console","2","5,212 K"
"FileCoAuth.exe","11372","Console","2","25,916 K"
"svchost.exe","2876","Console","2","20,492 K"
"RuntimeBroker.exe","20728","Console","2","10,128 K"
"LenovoVantage-(GenericMessagingAddin).exe","34108","Console","2","9,200 K"
"backgroundTaskHost.exe","8156","Console","2","5,392 K"
"RuntimeBroker.exe","25088","Console","2","9,456 K"
"ApplicationFrameHost.exe","29632","Console","2","33,968 K"
"SystemSettings.exe","31216","Console","2","158,884 K"
"svchost.exe","27440","Console","2","10,336 K"
"AppActions.exe","16884","Console","2","18,920 K"
"OneDrive.Sync.Service.exe","34084","Console","2","21,680 K"
"SDXHelper.exe","33908","Console","2","23,072 K"
"svchost.exe","3472","Services","0","9,348 K"
"LockApp.exe","14304","Console","2","72,716 K"
"RuntimeBroker.exe","32260","Console","2","38,700 K"
"svchost.exe","25580","Services","0","8,060 K"
"platform_runtime_RGB_service.exe","23916","Services","0","119,700 K"
"platform_runtime_RGB_service.exe","3832","Services","0","111,776 K"
"svchost.exe","24760","Services","0","7,532 K"
"backgroundTaskHost.exe","3296","Console","2","75,028 K"
"RuntimeBroker.exe","13968","Console","2","33,796 K"
"dllhost.exe","5024","Console","2","17,252 K"
"dllhost.exe","33816","Console","2","16,456 K"
"powershell.exe","17764","Console","2","65,476 K"
"conhost.exe","22068","Console","2","26,176 K"
"IntelGraphicsSoftware.Service.exe","7180","Services","0","53,360 K"
"PresentMonService.exe","35380","Services","0","13,228 K"
"conhost.exe","6884","Services","0","7,216 K"
"wsl.exe","18988","Console","2","8,000 K"
"wsl.exe","4996","Console","2","38,532 K"
"wslservice.exe","35680","Services","0","39,792 K"
"vmcompute.exe","21784","Services","0","15,056 K"
"wslhost.exe","23248","Console","2","10,572 K"
"conhost.exe","16752","Console","2","10,036 K"
"svchost.exe","22284","Services","0","10,516 K"
"PhoneExperienceHost.exe","28024","Console","2","163,148 K"
"svchost.exe","35036","Services","0","12,048 K"
"svchost.exe","25848","Services","0","10,368 K"
"WmiPrvSE.exe","22828","Services","0","20,060 K"
"smartscreen.exe","27256","Console","2","13,548 K"
"wsl.exe","25624","Console","2","13,604 K"
"conhost.exe","20204","Console","2","11,084 K"
"OpenConsole.exe","25128","Console","2","21,964 K"
"WindowsTerminal.exe","28728","Console","2","99,544 K"
"vmwp.exe","32464","Services","0","35,128 K"
"vmmemWSL","30760","Services","0","4,853,568 K"
"dllhost.exe","29700","Console","2","11,716 K"
"dllhost.exe","23032","Console","2","12,804 K"
"wslrelay.exe","15832","Console","2","10,796 K"
"wslhost.exe","7184","Console","2","12,592 K"
"conhost.exe","1788","Console","2","10,704 K"
"msrdc.exe","22172","Console","2","65,040 K"
"wslhost.exe","16184","Console","2","12,704 K"
"conhost.exe","7956","Console","2","10,716 K"
"audiodg.exe","17620","Services","0","14,068 K"
"wslhost.exe","22252","Console","2","12,128 K"
"conhost.exe","4168","Console","2","10,712 K"
"tasklist.exe","25688","Console","2","12,304 K"
"conhost.exe","26680","Console","2","8,096 K"
