run_id,request_id,seq,warmup,path,model,prompt_id,loss_pct,delay_ms,condition,wall_start,wall_end,ttft_ms,total_ms,connect_ms,headers_ms,tokens,eval_count,tokens_per_s,ok,failure,detail,loadavg_1m,prompt_nonce
m6-sweep,65c6fae363e3,3,0,ran,qwen2.5:3b,short,0.5,0,c001.1,1789622453.518842,1789622454.239573,71.917,720.631,22.359,71.886,59,60,89.408,1,,,1.86,61ec8b6c
m6-sweep,5226b183fddb,4,0,ran,qwen2.5:3b,short,0.5,0,c001.1,1789622454.739817,1789622455.520769,85.629,780.816,35.45,85.598,63,64,89.185,1,,,1.86,05a4ac87
m6-sweep,acecbdbc003d,5,0,ran,qwen2.5:3b,short,0.5,0,c001.1,1789622456.020932,1789622456.673544,76.814,652.523,28.347,76.783,52,53,88.586,1,,,1.95,0c082ef5
m6-sweep,87210781b1ca,6,0,ran,qwen2.5:3b,short,0.5,0,c001.1,1789622457.173809,1789622458.040232,83.85,866.273,35.788,83.817,70,71,88.188,1,,,1.95,025e2efa
m6-sweep,69911980e2f7,7,0,ran,qwen2.5:3b,short,0.5,0,c001.1,1789622458.540462,1789622459.182713,73.563,642.162,24.431,73.534,52,53,89.694,1,,,1.95,b4b327cd
m6-sweep,5fb6f4ce59db,8,0,ran,qwen2.5:3b,short,0.5,0,c001.1,1789622459.682868,1789622460.645793,72.977,962.799,23.587,72.945,81,82,89.906,1,,,1.95,e651d83b
m6-sweep,2b6d6c50fe49,9,0,ran,qwen2.5:3b,short,0.5,0,c001.1,1789622461.145965,1789622462.099835,81.919,953.739,28.107,81.755,82,83,92.909,1,,,1.88,9f60e59a
m6-sweep,719b8d0bd158,10,0,ran,qwen2.5:3b,short,0.5,0,c001.1,1789622462.600099,1789622463.337358,70.953,737.141,20.094,70.917,60,61,88.564,1,,,1.88,56cc4292
m6-sweep,2fa5ac8dbd81,11,0,ran,qwen2.5:3b,short,0.5,0,c001.1,1789622463.837582,1789622464.824836,87.663,987.09,39.015,87.631,82,83,90.057,1,,,1.88,8b2015c8
m6-sweep,e5062e163fa1,12,0,ran,qwen2.5:3b,short,0.5,0,c001.1,1789622465.325492,1789622466.269998,81.456,944.408,33.761,81.426,81,82,92.705,1,,,3.33,2068d42f
m6-sweep,527948a5b300,13,0,ran,qwen2.5:3b,short,0.5,0,c001.1,1789622466.770289,1789622467.617496,74.196,847.028,20.978,74.156,70,71,89.282,1,,,3.33,b48f5447
m6-sweep,5c5d5829eaa5,14,0,ran,qwen2.5:3b,short,0.5,0,c001.1,1789622468.117784,1789622468.793853,81.815,675.814,34.156,81.775,56,57,92.593,1,,,3.33,af187ed4
m6-sweep,e20a08746f04,15,0,ran,qwen2.5:3b,short,0.5,0,c001.1,1789622469.294118,1789622470.071554,88.669,777.329,39.425,88.633,63,64,90.03,1,,,3.33,8bc736a6
m6-sweep,c08c13420a33,16,0,ran,qwen2.5:3b,short,0.5,0,c001.1,1789622470.571746,1789622471.354279,83.645,782.448,34.024,83.614,63,64,88.723,1,,,3.70,5715611a
m6-sweep,8e617af2060d,17,0,ran,qwen2.5:3b,short,0.5,0,c001.1,1789622471.854489,1789622472.50773,74.03,653.109,24.119,73.996,52,53,88.071,1,,,3.70,f4d57c60
m6-sweep,12e41c1512c1,18,0,ran,qwen2.5:3b,short,0.5,0,c001.1,1789622473.007954,1789622473.851898,72.266,843.82,24.681,72.234,70,71,89.43,1,,,3.70,4d31449e
m6-sweep,16461e8f7c6a,19,0,ran,qwen2.5:3b,short,0.5,0,c001.1,1789622474.352152,1789622475.096956,86.915,744.715,37.633,86.884,59,60,88.173,1,,,3.70,a80b3ebf
m6-sweep,e7041c5da28c,20,0,ran,qwen2.5:3b,short,0.5,0,c001.1,1789622475.597201,1789622476.310542,83.453,713.207,31.847,83.409,56,57,87.336,1,,,4.85,37f4af94
m6-sweep,5925e97af3ad,21,0,ran,qwen2.5:3b,short,0.5,0,c001.1,1789622476.811361,1789622477.591903,75.195,780.446,24.32,75.161,63,64,87.912,1,,,4.85,7298935e
m6-sweep,9c01d83327cb,22,0,ran,qwen2.5:3b,short,0.5,0,c001.1,1789622478.092115,1789622478.892808,82.87,800.603,33.307,82.839,65,66,89.17,1,,,4.85,1fa4d5b6
m6-sweep,ead885056bf4,23,0,ran,qwen2.5:3b,short,0.5,0,c001.1,1789622479.392993,1789622480.408845,83.79,1015.734,34.165,83.753,80,81,84.769,1,,,4.85,c614f291
m6-sweep,95f1c756206d,24,0,ran,qwen2.5:3b,short,0.5,0,c001.1,1789622480.909082,1789622482.027455,81.631,1118.276,30.486,81.592,94,95,89.712,1,,,5.50,88d0e5f2
m6-sweep,59af41f0f27b,25,0,ran,qwen2.5:3b,short,0.5,0,c001.1,1789622482.527648,1789622483.516236,79.171,988.496,27.296,79.132,83,84,90.177,1,,,5.50,6fdbc6b1
m6-sweep,afb27202f43d,26,0,ran,qwen2.5:3b,short,0.5,0,c001.1,1789622484.016429,1789622484.758274,84.24,741.705,33.447,84.205,59,60,88.218,1,,,5.50,267f8f2a
m6-sweep,46543ff5cd46,27,0,ran,qwen2.5:3b,short,0.5,0,c001.1,1789622485.258476,1789622485.985637,72.24,727.064,22.338,72.21,59,60,88.574,1,,,5.50,85acceee
m6-sweep,271652346406,28,0,ran,qwen2.5:3b,short,0.5,0,c001.1,1789622486.485811,1789622487.028363,82.05,542.459,32.751,82.008,41,42,86.879,1,,,5.38,9771cffd
m6-sweep,aa1c679b03be,29,0,ran,qwen2.5:3b,short,0.5,0,c001.1,1789622487.528575,1789622488.068814,79.017,540.137,30.02,78.985,41,42,86.745,1,,,5.38,6890b15f
m6-sweep,ccec0d3b8af5,30,0,ran,qwen2.5:3b,short,0.5,0,c001.1,1789622488.569003,1789622489.201231,79.335,632.139,29.098,79.302,52,53,92.257,1,,,5.38,38988eae
m6-sweep,885f0be6e268,31,0,ran,qwen2.5:3b,short,0.5,0,c001.1,1789622489.701437,1789622490.239642,80.707,538.095,30.909,80.669,41,42,87.453,1,,,5.38,8948e8d0
m6-sweep,90a5db217f32,32,0,ran,qwen2.5:3b,short,0.5,0,c001.1,1789622490.739808,1789622491.681928,86.963,942.02,39.202,86.932,78,79,90.052,1,,,5.43,8ec6b2da
m6-sweep,f54582f3ac32,33,0,ran,qwen2.5:3b,short,0.5,0,c001.1,1789622492.182146,1789622492.849096,85.558,666.809,36.127,85.525,52,53,87.742,1,,,5.43,d1c2db06
m6-sweep,c0f2a3209974,34,0,ran,qwen2.5:3b,short,0.5,0,c001.1,1789622493.349306,1789622494.04357,86.584,694.165,38.645,86.539,57,58,92.169,1,,,5.43,eae06e66
m6-sweep,4616f1329ed9,35,0,ran,qwen2.5:3b,short,0.5,0,c001.1,1789622494.543774,1789622495.494898,116.299,950.995,31.137,116.216,81,82,95.843,1,,,5.43,7b1fdc5b
m6-sweep,f258653329c9,36,0,ran,qwen2.5:3b,short,0.5,0,c001.1,1789622495.995115,1789622496.946394,76.897,951.18,22.388,76.856,79,80,89.216,1,,,5.32,6c233efe
m6-sweep,e6d84e98cb79,37,0,ran,qwen2.5:3b,short,0.5,0,c001.1,1789622497.446619,1789622498.397311,88.715,950.607,36.979,88.681,79,80,90.499,1,,,5.32,39942940
m6-sweep,907010bf0cc4,38,0,ran,qwen2.5:3b,short,0.5,0,c001.1,1789622498.897506,1789622499.561825,86.614,664.218,37.431,86.583,52,53,88.296,1,,,5.32,e334af66
m6-sweep,10d241f7699a,39,0,ran,qwen2.5:3b,short,0.5,0,c001.1,1789622500.062011,1789622500.962668,85.752,900.473,36.249,85.724,74,75,89.601,1,,,5.32,1ded8de8
m6-sweep,5473ac5d78d3,40,0,ran,qwen2.5:3b,short,0.5,0,c001.1,1789622501.462975,1789622502.158837,87.285,695.773,38.883,87.249,55,56,88.745,1,,,6.41,93e088c6
m6-sweep,675d5b9de66e,41,0,ran,qwen2.5:3b,short,0.5,0,c001.1,1789622502.659038,1789622503.713189,86.985,1054.027,35.718,86.952,88,89,89.965,1,,,6.41,8df46129
m6-sweep,b12297166905,42,0,ran,qwen2.5:3b,short,0.5,0,c001.1,1789622504.213476,1789622505.069918,80.777,856.265,28.044,80.745,70,71,88.976,1,,,6.41,93a7b29c
m6-sweep,6503fdd7d2ee,43,0,ran,qwen2.5:3b,short,0.5,0,c001.1,1789622505.570328,1789622506.51174,79.391,941.276,29.983,79.357,78,79,89.339,1,,,6.22,cd3e6701
m6-sweep,4032bda2c8ef,44,0,ran,qwen2.5:3b,short,0.5,0,c001.1,1789622507.011983,1789622507.886003,88.202,873.878,31.73,88.171,70,71,87.823,1,,,6.22,590fdaa9
m6-sweep,f63fcff2f500,45,0,ran,qwen2.5:3b,short,0.5,0,c001.1,1789622508.386789,1789622509.311038,73.559,924.1,24.145,73.524,76,77,88.179,1,,,6.22,7a06c137
m6-sweep,1e5d31c10547,46,0,ran,qwen2.5:3b,short,0.5,0,c001.1,1789622509.811399,1789622510.60921,91.121,797.691,38.143,91.089,63,64,87.748,1,,,6.22,17647cbc
m6-sweep,1f051716037d,47,0,ran,qwen2.5:3b,short,0.5,0,c001.1,1789622511.109419,1789622511.766731,77.593,657.175,24.59,77.561,52,53,87.994,1,,,5.88,d20056cc
m6-sweep,b3fa65481929,48,0,ran,qwen2.5:3b,short,0.5,0,c001.1,1789622512.266987,1789622512.990707,76.518,723.619,29.531,76.485,58,59,88.085,1,,,5.88,829c914a
m6-sweep,b99039d1d369,49,0,ran,qwen2.5:3b,short,0.5,0,c001.1,1789622513.490947,1789622514.156327,83.748,665.173,32.729,83.706,52,53,87.715,1,,,5.88,caa46d76
m6-sweep,a1fda3cf4baa,50,0,ran,qwen2.5:3b,short,0.5,0,c001.1,1789622514.656648,1789622515.320492,84.908,663.711,36.485,84.827,52,53,88.113,1,,,5.88,9f79bf5f
m6-sweep,b2908fbb4bcd,51,0,ran,qwen2.5:3b,short,0.5,0,c001.1,1789622515.82073,1789622516.48016,73.468,659.296,22.744,73.418,52,53,87.056,1,,,6.45,b416f81a
m6-sweep,c5ebeca1aabd,52,0,ran,qwen2.5:3b,short,0.5,0,c001.1,1789622516.980409,1789622517.655418,73.302,674.918,22.774,73.272,52,53,84.772,1,,,6.45,06310a0b
m6-sweep,7eeda2cc414c,0,1,ran,qwen2.5:3b,short,0,50,c002.1,1789622520.163334,1789622521.336927,290.39,1173.435,135.922,290.352,82,83,91.728,1,,,6.33,bc9cd772
m6-sweep,728b489a185a,1,1,ran,qwen2.5:3b,short,0,50,c002.1,1789622521.837258,1789622522.763613,288.417,926.259,134.0,288.385,58,59,89.364,1,,,6.33,a937849b
m6-sweep,9a92f9ee7dc8,2,1,ran,qwen2.5:3b,short,0,50,c002.1,1789622523.263832,1789622524.558857,278.966,1294.933,122.17,278.934,93,94,90.554,1,,,6.33,ab977ccb
m6-sweep,2a8fa6de1727,3,0,ran,qwen2.5:3b,short,0,50,c002.1,1789622525.059058,1789622526.191617,279.053,1132.452,120.06,279.014,78,79,90.227,1,,,6.23,ff4bc523
m6-sweep,ca5efa74322e,4,0,ran,qwen2.5:3b,short,0,50,c002.1,1789622526.692231,1789622527.547559,282.732,855.236,120.715,282.699,52,53,89.082,1,,,6.23,b38a228d
m6-sweep,ee0c4c457a32,5,0,ran,qwen2.5:3b,short,0,50,c002.1,1789622528.04781,1789622528.898848,280.419,850.94,125.897,280.387,52,53,89.392,1,,,6.23,f59e6154
m6-sweep,ebfe33be8b27,6,0,ran,qwen2.5:3b,short,0,50,c002.1,1789622529.399085,1789622530.270416,286.822,871.25,130.231,286.788,53,54,88.976,1,,,6.23,5a95f399
