wall,cell,event,detail
1789623345.183,c012,start,"{""path"": ""ran"", ""model"": ""qwen2.5:0.5b"", ""prompt"": ""short"", ""loss"": 0, ""delay"": 200, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 200.0, ""loss_pct"": 0.0, ""raw"": ""qdisc netem 8011: root refcnt 2 limit 1000 delay 200ms""}, ""downlink"": {""delay_ms"": 200.0, ""loss_pct"": 0.0, ""raw"": ""qdisc netem 8012: root refcnt 2 limit 1000 delay 200ms""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789623442.387,c012,done,attempt 1
1789623443.425,c013,start,"{""path"": ""ran"", ""model"": ""qwen2.5:0.5b"", ""prompt"": ""long"", ""loss"": 0, ""delay"": 50, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 50.0, ""loss_pct"": 0.0, ""raw"": ""qdisc netem 8013: root refcnt 2 limit 1000 delay 50ms""}, ""downlink"": {""delay_ms"": 50.0, ""loss_pct"": 0.0, ""raw"": ""qdisc netem 8014: root refcnt 2 limit 1000 delay 50ms""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789623513.47,c013,done,attempt 1
1789623513.543,c014,start,"{""path"": ""loopback"", ""model"": ""qwen2.5:0.5b"", ""prompt"": ""long"", ""loss"": 0, ""delay"": 0, ""sentinel"": false, ""qdisc"": {""netem"": false, ""uplink"": null, ""downlink"": null, ""ingress"": false, ""redirect"": false, ""ifb"": false}}"
1789623565.753,c014,done,attempt 1
1789623566.797,c015,start,"{""path"": ""ran"", ""model"": ""qwen2.5:1.5b"", ""prompt"": ""long"", ""loss"": 0, ""delay"": 50, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 50.0, ""loss_pct"": 0.0, ""raw"": ""qdisc netem 8015: root refcnt 2 limit 1000 delay 50ms""}, ""downlink"": {""delay_ms"": 50.0, ""loss_pct"": 0.0, ""raw"": ""qdisc netem 8016: root refcnt 2 limit 1000 delay 50ms""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789623661.95,c015,done,attempt 1
1789623662.996,c016,start,"{""path"": ""ran"", ""model"": ""qwen2.5:1.5b"", ""prompt"": ""long"", ""loss"": 2, ""delay"": 0, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 0.0, ""loss_pct"": 2.0, ""raw"": ""qdisc netem 8017: root refcnt 2 limit 1000 loss 2%""}, ""downlink"": {""delay_ms"": 0.0, ""loss_pct"": 2.0, ""raw"": ""qdisc netem 8018: root refcnt 2 limit 1000 loss 2%""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789623743.482,c016,done,attempt 1
1789623744.534,c017,start,"{""path"": ""ran"", ""model"": ""qwen2.5:1.5b"", ""prompt"": ""short"", ""loss"": 1, ""delay"": 0, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 0.0, ""loss_pct"": 1.0, ""raw"": ""qdisc netem 8019: root refcnt 2 limit 1000 loss 1%""}, ""downlink"": {""delay_ms"": 0.0, ""loss_pct"": 1.0, ""raw"": ""qdisc netem 801a: root refcnt 2 limit 1000 loss 1%""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789623784.733,c017,done,attempt 1
1789623785.763,c018,start,"{""path"": ""ran"", ""model"": ""qwen2.5:1.5b"", ""prompt"": ""short"", ""loss"": 0, ""delay"": 100, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 100.0, ""loss_pct"": 0.0, ""raw"": ""qdisc netem 801b: root refcnt 2 limit 1000 delay 100ms""}, ""downlink"": {""delay_ms"": 100.0, ""loss_pct"": 0.0, ""raw"": ""qdisc netem 801c: root refcnt 2 limit 1000 delay 100ms""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789623852.361,c018,done,attempt 1
