wall,cell,event,detail
1789626515.66,c051,start,"{""path"": ""ran"", ""model"": ""qwen2.5:0.5b"", ""prompt"": ""long"", ""loss"": 10, ""delay"": 0, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 0.0, ""loss_pct"": 10.0, ""raw"": ""qdisc netem 804f: root refcnt 2 limit 1000 loss 10%""}, ""downlink"": {""delay_ms"": 0.0, ""loss_pct"": 10.0, ""raw"": ""qdisc netem 8050: root refcnt 2 limit 1000 loss 10%""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789626608.375,c051,done,attempt 1
1789626609.403,c052,start,"{""path"": ""ran"", ""model"": ""qwen2.5:0.5b"", ""prompt"": ""short"", ""loss"": 20, ""delay"": 0, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 0.0, ""loss_pct"": 20.0, ""raw"": ""qdisc netem 8051: root refcnt 2 limit 1000 loss 20%""}, ""downlink"": {""delay_ms"": 0.0, ""loss_pct"": 20.0, ""raw"": ""qdisc netem 8052: root refcnt 2 limit 1000 loss 20%""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789626734.839,c052,done,attempt 1
1789626735.87,c053,start,"{""path"": ""ran"", ""model"": ""qwen2.5:0.5b"", ""prompt"": ""short"", ""loss"": 0.5, ""delay"": 0, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 0.0, ""loss_pct"": 0.5, ""raw"": ""qdisc netem 8053: root refcnt 2 limit 1000 loss 0.5%""}, ""downlink"": {""delay_ms"": 0.0, ""loss_pct"": 0.5, ""raw"": ""qdisc netem 8054: root refcnt 2 limit 1000 loss 0.5%""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789626774.797,c053,done,attempt 1
1789626775.825,c054,start,"{""path"": ""ran"", ""model"": ""qwen2.5:3b"", ""prompt"": ""short"", ""loss"": 0, ""delay"": 20, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 20.0, ""loss_pct"": 0.0, ""raw"": ""qdisc netem 8055: root refcnt 2 limit 1000 delay 20ms""}, ""downlink"": {""delay_ms"": 20.0, ""loss_pct"": 0.0, ""raw"": ""qdisc netem 8056: root refcnt 2 limit 1000 delay 20ms""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789626850.499,c054,done,attempt 1
1789626851.465,c055,start,"{""path"": ""ran"", ""model"": ""qwen2.5:0.5b"", ""prompt"": ""short"", ""loss"": 0, ""delay"": 0, ""sentinel"": true, ""qdisc"": {""netem"": false, ""uplink"": null, ""downlink"": null, ""ingress"": false, ""redirect"": false, ""ifb"": false}}"
1789626870.338,c055,done,attempt 1
1789626871.402,c056,start,"{""path"": ""ran"", ""model"": ""qwen2.5:1.5b"", ""prompt"": ""short"", ""loss"": 1, ""delay"": 100, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 100.0, ""loss_pct"": 1.0, ""raw"": ""qdisc netem 8057: root refcnt 2 limit 1000 delay 100ms loss 1%""}, ""downlink"": {""delay_ms"": 100.0, ""loss_pct"": 1.0, ""raw"": ""qdisc netem 8058: root refcnt 2 limit 1000 delay 100ms loss 1%""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789626942.502,c056,done,attempt 1
1789626943.553,c057,start,"{""path"": ""ran"", ""model"": ""qwen2.5:3b"", ""prompt"": ""short"", ""loss"": 10, ""delay"": 0, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 0.0, ""loss_pct"": 10.0, ""raw"": ""qdisc netem 8059: root refcnt 2 limit 1000 loss 10%""}, ""downlink"": {""delay_ms"": 0.0, ""loss_pct"": 10.0, ""raw"": ""qdisc netem 805a: root refcnt 2 limit 1000 loss 10%""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789627049.927,c057,done,attempt 1
1789627051.11,c058,start,"{""path"": ""ran"", ""model"": ""qwen2.5:3b"", ""prompt"": ""short"", ""loss"": 5, ""delay"": 50, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 50.0, ""loss_pct"": 5.0, ""raw"": ""qdisc netem 805b: root refcnt 2 limit 1000 delay 50ms loss 5%""}, ""downlink"": {""delay_ms"": 50.0, ""loss_pct"": 5.0, ""raw"": ""qdisc netem 805c: root refcnt 2 limit 1000 delay 50ms loss 5%""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789627139.512,c058,done,attempt 1
1789627140.546,c059,start,"{""path"": ""ran"", ""model"": ""qwen2.5:0.5b"", ""prompt"": ""long"", ""loss"": 1, ""delay"": 0, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 0.0, ""loss_pct"": 1.0, ""raw"": ""qdisc netem 805d: root refcnt 2 limit 1000 loss 1%""}, ""downlink"": {""delay_ms"": 0.0, ""loss_pct"": 1.0, ""raw"": ""qdisc netem 805e: root refcnt 2 limit 1000 loss 1%""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789627201.029,c059,done,attempt 1
1789627202.057,c060,start,"{""path"": ""ran"", ""model"": ""qwen2.5:0.5b"", ""prompt"": ""short"", ""loss"": 1, ""delay"": 100, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 100.0, ""loss_pct"": 1.0, ""raw"": ""qdisc netem 805f: root refcnt 2 limit 1000 delay 100ms loss 1%""}, ""downlink"": {""delay_ms"": 100.0, ""loss_pct"": 1.0, ""raw"": ""qdisc netem 8060: root refcnt 2 limit 1000 delay 100ms loss 1%""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789627270.312,c060,done,attempt 1
1789627271.35,c061,start,"{""path"": ""ran"", ""model"": ""qwen2.5:3b"", ""prompt"": ""short"", ""loss"": 0, ""delay"": 200, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 200.0, ""loss_pct"": 0.0, ""raw"": ""qdisc netem 8061: root refcnt 2 limit 1000 delay 200ms""}, ""downlink"": {""delay_ms"": 200.0, ""loss_pct"": 0.0, ""raw"": ""qdisc netem 8062: root refcnt 2 limit 1000 delay 200ms""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789627388.581,c061,done,attempt 1
1789627389.629,c062,start,"{""path"": ""ran"", ""model"": ""qwen2.5:0.5b"", ""prompt"": ""short"", ""loss"": 5, ""delay"": 0, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 0.0, ""loss_pct"": 5.0, ""raw"": ""qdisc netem 8063: root refcnt 2 limit 1000 loss 5%""}, ""downlink"": {""delay_ms"": 0.0, ""loss_pct"": 5.0, ""raw"": ""qdisc netem 8064: root refcnt 2 limit 1000 loss 5%""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789627436.743,c062,done,attempt 1
1789627437.79,c063,start,"{""path"": ""ran"", ""model"": ""qwen2.5:3b"", ""prompt"": ""long"", ""loss"": 1, ""delay"": 100, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 100.0, ""loss_pct"": 1.0, ""raw"": ""qdisc netem 8065: root refcnt 2 limit 1000 delay 100ms loss 1%""}, ""downlink"": {""delay_ms"": 100.0, ""loss_pct"": 1.0, ""raw"": ""qdisc netem 8066: root refcnt 2 limit 1000 delay 100ms loss 1%""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789627564.969,c063,done,attempt 1
1789627566.024,c064,start,"{""path"": ""ran"", ""model"": ""qwen2.5:1.5b"", ""prompt"": ""short"", ""loss"": 0, ""delay"": 200, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 200.0, ""loss_pct"": 0.0, ""raw"": ""qdisc netem 8067: root refcnt 2 limit 1000 delay 200ms""}, ""downlink"": {""delay_ms"": 200.0, ""loss_pct"": 0.0, ""raw"": ""qdisc netem 8068: root refcnt 2 limit 1000 delay 200ms""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789627665.443,c064,done,attempt 1
1789627666.471,c065,start,"{""path"": ""ran"", ""model"": ""qwen2.5:0.5b"", ""prompt"": ""short"", ""loss"": 0, ""delay"": 100, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 100.0, ""loss_pct"": 0.0, ""raw"": ""qdisc netem 8069: root refcnt 2 limit 1000 delay 100ms""}, ""downlink"": {""delay_ms"": 100.0, ""loss_pct"": 0.0, ""raw"": ""qdisc netem 806a: root refcnt 2 limit 1000 delay 100ms""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789627734.4,c065,done,attempt 1
1789627735.365,c066,start,"{""path"": ""ran"", ""model"": ""qwen2.5:0.5b"", ""prompt"": ""short"", ""loss"": 0, ""delay"": 0, ""sentinel"": true, ""qdisc"": {""netem"": false, ""uplink"": null, ""downlink"": null, ""ingress"": false, ""redirect"": false, ""ifb"": false}}"
1789627751.818,c066,done,attempt 1
1789627752.85,c067,start,"{""path"": ""ran"", ""model"": ""qwen2.5:3b"", ""prompt"": ""long"", ""loss"": 5, ""delay"": 0, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 0.0, ""loss_pct"": 5.0, ""raw"": ""qdisc netem 806b: root refcnt 2 limit 1000 loss 5%""}, ""downlink"": {""delay_ms"": 0.0, ""loss_pct"": 5.0, ""raw"": ""qdisc netem 806c: root refcnt 2 limit 1000 loss 5%""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789627857.481,c067,done,attempt 1
1789627858.518,c068,start,"{""path"": ""ran"", ""model"": ""qwen2.5:1.5b"", ""prompt"": ""long"", ""loss"": 5, ""delay"": 50, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 50.0, ""loss_pct"": 5.0, ""raw"": ""qdisc netem 806d: root refcnt 2 limit 1000 delay 50ms loss 5%""}, ""downlink"": {""delay_ms"": 50.0, ""loss_pct"": 5.0, ""raw"": ""qdisc netem 806e: root refcnt 2 limit 1000 delay 50ms loss 5%""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789627964.013,c068,done,attempt 1
1789627965.076,c069,start,"{""path"": ""ran"", ""model"": ""qwen2.5:0.5b"", ""prompt"": ""short"", ""loss"": 1, ""delay"": 0, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 0.0, ""loss_pct"": 1.0, ""raw"": ""qdisc netem 806f: root refcnt 2 limit 1000 loss 1%""}, ""downlink"": {""delay_ms"": 0.0, ""loss_pct"": 1.0, ""raw"": ""qdisc netem 8070: root refcnt 2 limit 1000 loss 1%""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789628004.801,c069,done,attempt 1
1789628005.828,c070,start,"{""path"": ""ran"", ""model"": ""qwen2.5:3b"", ""prompt"": ""short"", ""loss"": 5, ""delay"": 0, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 0.0, ""loss_pct"": 5.0, ""raw"": ""qdisc netem 8071: root refcnt 2 limit 1000 loss 5%""}, ""downlink"": {""delay_ms"": 0.0, ""loss_pct"": 5.0, ""raw"": ""qdisc netem 8072: root refcnt 2 limit 1000 loss 5%""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789628086.366,c070,done,attempt 1
1789628087.399,c071,start,"{""path"": ""ran"", ""model"": ""qwen2.5:1.5b"", ""prompt"": ""short"", ""loss"": 10, ""delay"": 0, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 0.0, ""loss_pct"": 10.0, ""raw"": ""qdisc netem 8073: root refcnt 2 limit 1000 loss 10%""}, ""downlink"": {""delay_ms"": 0.0, ""loss_pct"": 10.0, ""raw"": ""qdisc netem 8074: root refcnt 2 limit 1000 loss 10%""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789628158.743,c071,done,attempt 1
1789628159.771,c072,start,"{""path"": ""ran"", ""model"": ""qwen2.5:1.5b"", ""prompt"": ""short"", ""loss"": 0, ""delay"": 20, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 20.0, ""loss_pct"": 0.0, ""raw"": ""qdisc netem 8075: root refcnt 2 limit 1000 delay 20ms""}, ""downlink"": {""delay_ms"": 20.0, ""loss_pct"": 0.0, ""raw"": ""qdisc netem 8076: root refcnt 2 limit 1000 delay 20ms""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789628203.578,c072,done,attempt 1
1789628204.613,c073,start,"{""path"": ""ran"", ""model"": ""qwen2.5:1.5b"", ""prompt"": ""short"", ""loss"": 2, ""delay"": 0, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 0.0, ""loss_pct"": 2.0, ""raw"": ""qdisc netem 8077: root refcnt 2 limit 1000 loss 2%""}, ""downlink"": {""delay_ms"": 0.0, ""loss_pct"": 2.0, ""raw"": ""qdisc netem 8078: root refcnt 2 limit 1000 loss 2%""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789628245.003,c073,done,attempt 1
1789628245.072,c074,start,"{""path"": ""loopback"", ""model"": ""qwen2.5:1.5b"", ""prompt"": ""long"", ""loss"": 0, ""delay"": 0, ""sentinel"": false, ""qdisc"": {""netem"": false, ""uplink"": null, ""downlink"": null, ""ingress"": false, ""redirect"": false, ""ifb"": false}}"
1789628318.166,c074,done,attempt 1
1789628319.21,c075,start,"{""path"": ""ran"", ""model"": ""qwen2.5:3b"", ""prompt"": ""short"", ""loss"": 5, ""delay"": 100, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 100.0, ""loss_pct"": 5.0, ""raw"": ""qdisc netem 8079: root refcnt 2 limit 1000 delay 100ms loss 5%""}, ""downlink"": {""delay_ms"": 100.0, ""loss_pct"": 5.0, ""raw"": ""qdisc netem 807a: root refcnt 2 limit 1000 delay 100ms loss 5%""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789628430.311,c075,done,attempt 1
1789628431.339,c076,start,"{""path"": ""ran"", ""model"": ""qwen2.5:1.5b"", ""prompt"": ""long"", ""loss"": 0, ""delay"": 200, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 200.0, ""loss_pct"": 0.0, ""raw"": ""qdisc netem 807b: root refcnt 2 limit 1000 delay 200ms""}, ""downlink"": {""delay_ms"": 200.0, ""loss_pct"": 0.0, ""raw"": ""qdisc netem 807c: root refcnt 2 limit 1000 delay 200ms""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789628561.237,c076,done,attempt 1
1789628562.185,c077,start,"{""path"": ""ran"", ""model"": ""qwen2.5:0.5b"", ""prompt"": ""short"", ""loss"": 0, ""delay"": 0, ""sentinel"": true, ""qdisc"": {""netem"": false, ""uplink"": null, ""downlink"": null, ""ingress"": false, ""redirect"": false, ""ifb"": false}}"
1789628581.305,c077,done,attempt 1
1789628582.25,c078,start,"{""path"": ""ran"", ""model"": ""qwen2.5:1.5b"", ""prompt"": ""long"", ""loss"": 0, ""delay"": 0, ""sentinel"": false, ""qdisc"": {""netem"": false, ""uplink"": null, ""downlink"": null, ""ingress"": false, ""redirect"": false, ""ifb"": false}}"
1789628663.307,c078,done,attempt 1
1789628664.347,c079,start,"{""path"": ""ran"", ""model"": ""qwen2.5:0.5b"", ""prompt"": ""long"", ""loss"": 20, ""delay"": 0, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 0.0, ""loss_pct"": 20.0, ""raw"": ""qdisc netem 807d: root refcnt 2 limit 1000 loss 20%""}, ""downlink"": {""delay_ms"": 0.0, ""loss_pct"": 20.0, ""raw"": ""qdisc netem 807e: root refcnt 2 limit 1000 loss 20%""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789628856.527,c079,done,attempt 1
1789628857.564,c080,start,"{""path"": ""ran"", ""model"": ""qwen2.5:1.5b"", ""prompt"": ""long"", ""loss"": 1, ""delay"": 0, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 0.0, ""loss_pct"": 1.0, ""raw"": ""qdisc netem 807f: root refcnt 2 limit 1000 loss 1%""}, ""downlink"": {""delay_ms"": 0.0, ""loss_pct"": 1.0, ""raw"": ""qdisc netem 8080: root refcnt 2 limit 1000 loss 1%""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789628941.161,c080,done,attempt 1
1789628942.218,c081,start,"{""path"": ""ran"", ""model"": ""qwen2.5:0.5b"", ""prompt"": ""long"", ""loss"": 1, ""delay"": 100, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 100.0, ""loss_pct"": 1.0, ""raw"": ""qdisc netem 8081: root refcnt 2 limit 1000 delay 100ms loss 1%""}, ""downlink"": {""delay_ms"": 100.0, ""loss_pct"": 1.0, ""raw"": ""qdisc netem 8082: root refcnt 2 limit 1000 delay 100ms loss 1%""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789629027.566,c081,done,attempt 1
1789629028.61,c082,start,"{""path"": ""ran"", ""model"": ""qwen2.5:0.5b"", ""prompt"": ""long"", ""loss"": 2, ""delay"": 0, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 0.0, ""loss_pct"": 2.0, ""raw"": ""qdisc netem 8083: root refcnt 2 limit 1000 loss 2%""}, ""downlink"": {""delay_ms"": 0.0, ""loss_pct"": 2.0, ""raw"": ""qdisc netem 8084: root refcnt 2 limit 1000 loss 2%""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789629087.438,c082,done,attempt 1
1789629088.383,c083,start,"{""path"": ""ran"", ""model"": ""qwen2.5:3b"", ""prompt"": ""long"", ""loss"": 0, ""delay"": 0, ""sentinel"": false, ""qdisc"": {""netem"": false, ""uplink"": null, ""downlink"": null, ""ingress"": false, ""redirect"": false, ""ifb"": false}}"
1789629185.299,c083,done,attempt 1
1789629186.328,c084,start,"{""path"": ""ran"", ""model"": ""qwen2.5:1.5b"", ""prompt"": ""short"", ""loss"": 5, ""delay"": 100, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 100.0, ""loss_pct"": 5.0, ""raw"": ""qdisc netem 8085: root refcnt 2 limit 1000 delay 100ms loss 5%""}, ""downlink"": {""delay_ms"": 100.0, ""loss_pct"": 5.0, ""raw"": ""qdisc netem 8086: root refcnt 2 limit 1000 delay 100ms loss 5%""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789629274.623,c084,done,attempt 1
1789629275.592,c085,start,"{""path"": ""ran"", ""model"": ""qwen2.5:1.5b"", ""prompt"": ""short"", ""loss"": 0, ""delay"": 0, ""sentinel"": false, ""qdisc"": {""netem"": false, ""uplink"": null, ""downlink"": null, ""ingress"": false, ""redirect"": false, ""ifb"": false}}"
1789629314.111,c085,done,attempt 1
1789629315.162,c086,start,"{""path"": ""ran"", ""model"": ""qwen2.5:1.5b"", ""prompt"": ""short"", ""loss"": 0, ""delay"": 50, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 50.0, ""loss_pct"": 0.0, ""raw"": ""qdisc netem 8087: root refcnt 2 limit 1000 delay 50ms""}, ""downlink"": {""delay_ms"": 50.0, ""loss_pct"": 0.0, ""raw"": ""qdisc netem 8088: root refcnt 2 limit 1000 delay 50ms""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789629365.316,c086,done,attempt 1
1789629366.35,c087,start,"{""path"": ""ran"", ""model"": ""qwen2.5:0.5b"", ""prompt"": ""long"", ""loss"": 0, ""delay"": 200, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 200.0, ""loss_pct"": 0.0, ""raw"": ""qdisc netem 8089: root refcnt 2 limit 1000 delay 200ms""}, ""downlink"": {""delay_ms"": 200.0, ""loss_pct"": 0.0, ""raw"": ""qdisc netem 808a: root refcnt 2 limit 1000 delay 200ms""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789629474.012,c087,done,attempt 1
1789629474.958,c088,start,"{""path"": ""ran"", ""model"": ""qwen2.5:0.5b"", ""prompt"": ""short"", ""loss"": 0, ""delay"": 0, ""sentinel"": true, ""qdisc"": {""netem"": false, ""uplink"": null, ""downlink"": null, ""ingress"": false, ""redirect"": false, ""ifb"": false}}"
1789629491.453,c088,done,attempt 1
1789629492.511,c089,start,"{""path"": ""ran"", ""model"": ""qwen2.5:1.5b"", ""prompt"": ""long"", ""loss"": 5, ""delay"": 0, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 0.0, ""loss_pct"": 5.0, ""raw"": ""qdisc netem 808b: root refcnt 2 limit 1000 loss 5%""}, ""downlink"": {""delay_ms"": 0.0, ""loss_pct"": 5.0, ""raw"": ""qdisc netem 808c: root refcnt 2 limit 1000 loss 5%""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789629580.991,c089,done,attempt 1
1789629582.056,c090,start,"{""path"": ""ran"", ""model"": ""qwen2.5:1.5b"", ""prompt"": ""short"", ""loss"": 5, ""delay"": 0, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 0.0, ""loss_pct"": 5.0, ""raw"": ""qdisc netem 808d: root refcnt 2 limit 1000 loss 5%""}, ""downlink"": {""delay_ms"": 0.0, ""loss_pct"": 5.0, ""raw"": ""qdisc netem 808e: root refcnt 2 limit 1000 loss 5%""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789629630.833,c090,done,attempt 1
1789629631.863,c091,start,"{""path"": ""ran"", ""model"": ""qwen2.5:0.5b"", ""prompt"": ""short"", ""loss"": 1, ""delay"": 50, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 50.0, ""loss_pct"": 1.0, ""raw"": ""qdisc netem 808f: root refcnt 2 limit 1000 delay 50ms loss 1%""}, ""downlink"": {""delay_ms"": 50.0, ""loss_pct"": 1.0, ""raw"": ""qdisc netem 8090: root refcnt 2 limit 1000 delay 50ms loss 1%""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789629685.507,c091,done,attempt 1
1789629686.534,c092,start,"{""path"": ""ran"", ""model"": ""qwen2.5:1.5b"", ""prompt"": ""long"", ""loss"": 1, ""delay"": 50, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 50.0, ""loss_pct"": 1.0, ""raw"": ""qdisc netem 8091: root refcnt 2 limit 1000 delay 50ms loss 1%""}, ""downlink"": {""delay_ms"": 50.0, ""loss_pct"": 1.0, ""raw"": ""qdisc netem 8092: root refcnt 2 limit 1000 delay 50ms loss 1%""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789629781.72,c092,done,attempt 1
1789629782.767,c093,start,"{""path"": ""ran"", ""model"": ""qwen2.5:0.5b"", ""prompt"": ""short"", ""loss"": 0, ""delay"": 20, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 20.0, ""loss_pct"": 0.0, ""raw"": ""qdisc netem 8093: root refcnt 2 limit 1000 delay 20ms""}, ""downlink"": {""delay_ms"": 20.0, ""loss_pct"": 0.0, ""raw"": ""qdisc netem 8094: root refcnt 2 limit 1000 delay 20ms""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789629826.186,c093,done,attempt 1
1789629827.224,c094,start,"{""path"": ""ran"", ""model"": ""qwen2.5:3b"", ""prompt"": ""short"", ""loss"": 1, ""delay"": 50, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 50.0, ""loss_pct"": 1.0, ""raw"": ""qdisc netem 8095: root refcnt 2 limit 1000 delay 50ms loss 1%""}, ""downlink"": {""delay_ms"": 50.0, ""loss_pct"": 1.0, ""raw"": ""qdisc netem 8096: root refcnt 2 limit 1000 delay 50ms loss 1%""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789629911.515,c094,done,attempt 1
1789629912.549,c095,start,"{""path"": ""ran"", ""model"": ""qwen2.5:3b"", ""prompt"": ""long"", ""loss"": 0, ""delay"": 20, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 20.0, ""loss_pct"": 0.0, ""raw"": ""qdisc netem 8097: root refcnt 2 limit 1000 delay 20ms""}, ""downlink"": {""delay_ms"": 20.0, ""loss_pct"": 0.0, ""raw"": ""qdisc netem 8098: root refcnt 2 limit 1000 delay 20ms""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789630011.926,c095,done,attempt 1
1789630012.976,c096,start,"{""path"": ""ran"", ""model"": ""qwen2.5:0.5b"", ""prompt"": ""short"", ""loss"": 2, ""delay"": 0, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 0.0, ""loss_pct"": 2.0, ""raw"": ""qdisc netem 8099: root refcnt 2 limit 1000 loss 2%""}, ""downlink"": {""delay_ms"": 0.0, ""loss_pct"": 2.0, ""raw"": ""qdisc netem 809a: root refcnt 2 limit 1000 loss 2%""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789630055.986,c096,done,attempt 1
1789630056.96,c097,start,"{""path"": ""ran"", ""model"": ""qwen2.5:0.5b"", ""prompt"": ""short"", ""loss"": 0, ""delay"": 0, ""sentinel"": false, ""qdisc"": {""netem"": false, ""uplink"": null, ""downlink"": null, ""ingress"": false, ""redirect"": false, ""ifb"": false}}"
1789630093.45,c097,done,attempt 1
1789630094.481,c098,start,"{""path"": ""ran"", ""model"": ""qwen2.5:0.5b"", ""prompt"": ""short"", ""loss"": 10, ""delay"": 0, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 0.0, ""loss_pct"": 10.0, ""raw"": ""qdisc netem 809b: root refcnt 2 limit 1000 loss 10%""}, ""downlink"": {""delay_ms"": 0.0, ""loss_pct"": 10.0, ""raw"": ""qdisc netem 809c: root refcnt 2 limit 1000 loss 10%""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789630150.323,c098,done,attempt 1
1789630151.267,c099,start,"{""path"": ""ran"", ""model"": ""qwen2.5:0.5b"", ""prompt"": ""short"", ""loss"": 0, ""delay"": 0, ""sentinel"": true, ""qdisc"": {""netem"": false, ""uplink"": null, ""downlink"": null, ""ingress"": false, ""redirect"": false, ""ifb"": false}}"
1789630167.509,c099,done,attempt 1
1789630168.536,c100,start,"{""path"": ""ran"", ""model"": ""qwen2.5:3b"", ""prompt"": ""long"", ""loss"": 1, ""delay"": 50, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 50.0, ""loss_pct"": 1.0, ""raw"": ""qdisc netem 809d: root refcnt 2 limit 1000 delay 50ms loss 1%""}, ""downlink"": {""delay_ms"": 50.0, ""loss_pct"": 1.0, ""raw"": ""qdisc netem 809e: root refcnt 2 limit 1000 delay 50ms loss 1%""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789630282.597,c100,done,attempt 1
